P,ET,modeled_Q,obs_Q
0,3.58,0.933,0.415
0,3.59,0.786,0.322
0,3.59,0.726,0.289
0,3.59,0.699,0.276
0,3.59,0.675,0.264
0.7,3.58,0.652,0.243
0,3.57,0.63,0.243
0,3.55,0.61,0.239
0,3.53,0.591,0.234
0,3.51,0.574,0.228
0,3.48,0.557,0.223
0.8,3.34,0.541,0.229
1.4,3.31,0.527,0.241
0,3.28,0.513,0.226
0,3.25,0.499,0.211
0.2,3.23,0.487,0.221
0,3.21,0.475,0.231
2,3.19,0.464,0.236
7.1,3.17,0.47,0.251
0,3.15,0.489,0.263
3,3.13,0.46,0.256
0,3.15,0.445,0.243
1.9,3.14,0.435,0.256
19,3.12,0.499,0.253
0,3.11,0.624,0.376
0,3.1,0.529,0.307
7.5,3.08,0.519,0.253
4.3,3.07,0.556,0.294
0,3.06,0.53,0.346
8.5,3.04,0.534,0.311
1.5,3.03,0.575,0.372
0.1,3.06,0.529,0.356
5.6,3.05,0.522,0.342
4.6,3.03,0.545,0.412
1.6,3.01,0.533,0.472
1,2.98,0.507,0.498
1.1,2.95,0.492,0.399
2.3,2.92,0.48,0.336
2.3,2.89,0.469,0.362
13.4,2.86,0.521,0.322
5.2,2.82,0.64,0.655
0.1,2.78,0.588,0.525
8.2,2.67,0.578,0.419
2.2,2.63,0.63,0.714
1.1,2.59,0.574,0.894
0,2.55,0.549,0.518
2.1,2.51,0.535,0.412
1.8,2.47,0.522,0.366
0,2.44,0.509,0.376
0,2.4,0.497,0.349
0,2.36,0.486,0.332
2.2,2.33,0.475,0.332
0.5,2.31,0.464,0.326
0,2.28,0.454,0.312
0.4,2.24,0.445,0.297
0.6,2.21,0.435,0.274
0,2.17,0.427,0.259
0,2.14,0.418,0.253
0.8,2.1,0.41,0.246
0.3,2.07,0.403,0.246
0,2.03,0.395,0.253
0.1,2,0.388,0.258
6.6,1.96,0.403,0.272
5.9,1.92,0.457,0.332
2.7,1.88,0.465,0.356
13.9,1.85,0.506,0.369
11.9,1.81,0.698,1.426
0.9,1.78,0.741,1.299
9.7,1.74,0.696,0.741
0.1,1.71,0.785,1.432
1.4,1.67,0.696,0.954
0,1.63,0.657,0.681
3.8,1.58,0.658,0.558
0.9,1.55,0.675,0.508
11,1.51,0.731,0.555
0,1.48,0.875,0.964
0.5,1.45,0.763,0.678
0.9,1.42,0.716,0.545
0.6,1.39,0.693,0.525
0.3,1.36,0.672,0.515
1.8,1.34,0.656,0.532
1.5,1.31,0.647,0.508
3.1,1.32,0.646,0.505
0.6,1.29,0.657,0.488
0,1.26,0.623,0.472
2.6,1.24,0.615,0.455
1.9,1.21,0.629,0.469
1.5,1.18,0.616,0.508
1,1.15,0.597,0.469
3.4,1.12,0.6,0.439
7.2,1.09,0.688,0.488
9.2,1.05,0.862,0.665
7.8,0.97,1.045,1.103
4.7,0.93,1.139,1.180
9.8,0.9,1.256,1.103
3.6,0.87,1.464,1.017
4.2,0.85,1.434,1.097
1.2,0.82,1.417,1.053
8.2,0.8,1.463,0.960
2.1,0.78,1.668,1.362
0,0.76,1.523,1.153
0,0.74,1.385,0.897
0,0.73,1.299,0.808
0.2,0.74,1.229,0.731
3.9,0.73,1.232,0.911
10.1,0.71,1.499,1.545
0,0.7,1.75,1.894
0,0.69,1.51,1.236
0,0.68,1.383,1.004
0,0.67,1.305,0.924
0,0.67,1.236,0.884
4.1,0.66,1.251,0.871
11.6,0.65,1.589,1.203
7.9,0.66,2.151,2.791
7,0.65,2.426,2.110
0.6,0.64,2.431,2.393
4.5,0.64,2.231,1.994
0.7,0.63,2.227,2.260
15.9,0.63,2.577,1.977
0.3,0.62,3.328,3.190
12.9,0.62,3.327,2.675
0,0.61,3.804,3.556
29.6,0.6,4.935,2.642
1.3,0.59,7.27,6.347
0,0.59,5.289,5.649
1.5,0.58,4.164,4.054
9.9,0.58,4.203,3.888
18.6,0.57,5.97,6.546
0.1,0.57,6.938,8.906
6.8,0.57,5.619,4.885
2.9,0.57,5.366,4.420
0.3,0.57,4.549,4.220
5.7,0.56,4.126,4.054
11.9,0.58,4.991,3.988
13.6,0.58,6.767,8.009
12.5,0.58,8.377,7.643
4.2,0.58,8.315,7.842
0.6,0.57,6.481,5.616
21.4,0.57,7.193,7.743
16.3,0.57,11.305,11.631
1.5,0.56,10.622,10.667
2,0.56,7.363,6.978
0.1,0.55,5.732,5.915
3.9,0.53,4.959,5.018
0.2,0.52,4.636,4.818
0,0.51,3.919,4.320
0,0.51,3.438,3.822
2.9,0.5,3.28,3.556
1.9,0.5,3.361,3.589
10.6,0.49,3.954,3.323
15.2,0.49,6.238,7.377
